dex,id,sp_atk,sp_def
227,SKARMORY,40,70
228,HOUNDOUR,80,50
229,HOUNDOOM,110,80
230,KINGDRA,95,95
231,PHANPY,40,40
232,DONPHAN,60,60
233,PORYGON2,105,95
234,STANTLER,85,65
235,SMEARGLE,20,45
236,TYROGUE,35,35
237,HITMONTOP,35,110
238,SMOOCHUM,85,65
239,ELEKID,65,55
240,MAGBY,70,55
241,MILTANK,40,70
242,BLISSEY,75,135
243,RAIKOU,115,100
244,ENTEI,90,75
245,SUICUNE,90,115
246,LARVITAR,45,50
247,PUPITAR,65,70
248,TYRANITAR,95,100
249,LUGIA,90,154
250,HO_OH,110,154
251,CELEBI,100,100
