index,identifier,gen1_type,gen1_category_model,gen4_category,gen5_category,gen6_category,gen7_category,gen8_category,gen9_category,modern_differs_from_gen1,note
101,night-shade,ghost,physical,special,special,special,special,special,special,yes,fixed/special damage bypasses ordinary Attack/Defense operands in Gen1Recomp
102,mimic,normal,status,status,status,status,status,status,status,no,
103,screech,normal,status,status,status,status,status,status,status,no,
104,double-team,normal,status,status,status,status,status,status,status,no,
105,recover,normal,status,status,status,status,status,status,status,no,
106,harden,normal,status,status,status,status,status,status,status,no,
107,minimize,normal,status,status,status,status,status,status,status,no,
108,smokescreen,normal,status,status,status,status,status,status,status,no,
109,confuse-ray,ghost,status,status,status,status,status,status,status,no,
110,withdraw,water,status,status,status,status,status,status,status,no,
111,defense-curl,normal,status,status,status,status,status,status,status,no,
112,barrier,psychic,status,status,status,status,status,status,status,no,
113,light-screen,psychic,status,status,status,status,status,status,status,no,
114,haze,ice,status,status,status,status,status,status,status,no,
115,reflect,psychic,status,status,status,status,status,status,status,no,
116,focus-energy,normal,status,status,status,status,status,status,status,no,
117,bide,normal,physical,physical,physical,physical,physical,physical,physical,no,
118,metronome,normal,status,status,status,status,status,status,status,no,
119,mirror-move,flying,status,status,status,status,status,status,status,no,
120,self-destruct,normal,physical,physical,physical,physical,physical,physical,physical,no,
121,egg-bomb,normal,physical,physical,physical,physical,physical,physical,physical,no,
122,lick,ghost,physical,physical,physical,physical,physical,physical,physical,no,
123,smog,poison,physical,special,special,special,special,special,special,yes,
124,sludge,poison,physical,special,special,special,special,special,special,yes,
125,bone-club,ground,physical,physical,physical,physical,physical,physical,physical,no,
126,fire-blast,fire,special,special,special,special,special,special,special,no,
127,waterfall,water,special,physical,physical,physical,physical,physical,physical,yes,
128,clamp,water,special,physical,physical,physical,physical,physical,physical,yes,
129,swift,normal,physical,special,special,special,special,special,special,yes,
130,skull-bash,normal,physical,physical,physical,physical,physical,physical,physical,no,
131,spike-cannon,normal,physical,physical,physical,physical,physical,physical,physical,no,
132,constrict,normal,physical,physical,physical,physical,physical,physical,physical,no,
133,amnesia,psychic,status,status,status,status,status,status,status,no,
134,kinesis,psychic,status,status,status,status,status,status,status,no,
135,soft-boiled,normal,status,status,status,status,status,status,status,no,
136,high-jump-kick,fighting,physical,physical,physical,physical,physical,physical,physical,no,
137,glare,normal,status,status,status,status,status,status,status,no,
138,dream-eater,psychic,special,special,special,special,special,special,special,no,
139,poison-gas,poison,status,status,status,status,status,status,status,no,
140,barrage,normal,physical,physical,physical,physical,physical,physical,physical,no,
141,leech-life,bug,physical,physical,physical,physical,physical,physical,physical,no,
142,lovely-kiss,normal,status,status,status,status,status,status,status,no,
143,sky-attack,flying,physical,physical,physical,physical,physical,physical,physical,no,
144,transform,normal,status,status,status,status,status,status,status,no,
145,bubble,water,special,special,special,special,special,special,special,no,
146,dizzy-punch,normal,physical,physical,physical,physical,physical,physical,physical,no,
147,spore,grass,status,status,status,status,status,status,status,no,
148,flash,normal,status,status,status,status,status,status,status,no,
149,psywave,psychic,special,special,special,special,special,special,special,no,fixed/special damage bypasses ordinary Attack/Defense operands in Gen1Recomp
150,splash,normal,status,status,status,status,status,status,status,no,
151,acid-armor,poison,status,status,status,status,status,status,status,no,
152,crabhammer,water,special,physical,physical,physical,physical,physical,physical,yes,
153,explosion,normal,physical,physical,physical,physical,physical,physical,physical,no,
154,fury-swipes,normal,physical,physical,physical,physical,physical,physical,physical,no,
155,bonemerang,ground,physical,physical,physical,physical,physical,physical,physical,no,
156,rest,psychic,status,status,status,status,status,status,status,no,
157,rock-slide,rock,physical,physical,physical,physical,physical,physical,physical,no,
158,hyper-fang,normal,physical,physical,physical,physical,physical,physical,physical,no,
159,sharpen,normal,status,status,status,status,status,status,status,no,
160,conversion,normal,status,status,status,status,status,status,status,no,
161,tri-attack,normal,physical,special,special,special,special,special,special,yes,
162,super-fang,normal,physical,physical,physical,physical,physical,physical,physical,no,
163,slash,normal,physical,physical,physical,physical,physical,physical,physical,no,
164,substitute,normal,status,status,status,status,status,status,status,no,
165,struggle,normal,physical,physical,physical,physical,physical,physical,physical,no,
